department,humanity,STEM
Words of Engagement Intergroup Dialogue Program,TRUE,FALSE
Women's Studies,TRUE,FALSE
"Women, Gender, and Sexuality Studies",TRUE,FALSE
Veterinary Medical Sciences,FALSE,TRUE
Vertically Integrated Projects,FALSE,TRUE
Urban Studies and Planning,FALSE,TRUE
University Honors,,
University Courses,,
"Theatre, Dance and Performance Studies",TRUE,FALSE
Theatre,TRUE,FALSE
Terrorism Studies,TRUE,FALSE
Telecommunications,FALSE,TRUE
"Teaching and Learning, Policy and Leadership",TRUE,FALSE
Teaching and Learning Transformation Center,TRUE,FALSE
Systems Engineering,FALSE,TRUE
Survey Methodology,FALSE,TRUE
Survey and Data Science,FALSE,TRUE
Statistics and Probability,FALSE,TRUE
Spanish,TRUE,FALSE
Southern Management Leadership Program,,
Sociology,TRUE,FALSE
Second Language Acquisition and Application,TRUE,FALSE
School of Music,TRUE,FALSE
"School of Languages, Literatures and Cultures",TRUE,FALSE
Russian,TRUE,FALSE
Religious Studies,TRUE,FALSE
Reliability Engineering,FALSE,TRUE
Real Estate Development,FALSE,TRUE
Quantum Computing,FALSE,TRUE
Public Policy,TRUE,FALSE
Public Health Science,FALSE,TRUE
Public Health,FALSE,TRUE
Psychology,TRUE,FALSE
Portuguese,TRUE,FALSE
Plant Sciences,FALSE,TRUE
Physics,FALSE,TRUE
"Philosophy, Politics, and Economics",TRUE,FALSE
Philosophy,TRUE,FALSE
Persian,TRUE,FALSE
Part-Time MBA Program,,
Online MBA Program,,
Online Business MS Programs,,
Office of Undergraduate Research,,
Nutrition and Food Science,FALSE,TRUE
Neuroscience & Cognitive Science,FALSE,TRUE
Neuroscience,FALSE,TRUE
Navy,,
National Institute of Aeronautics - North Carolina,,
Music Performance,TRUE,FALSE
Music Education,TRUE,FALSE
MPower Undergraduate Law Programs,TRUE,FALSE
Molecular and Cell Biology,FALSE,TRUE
Mechatronics Engineering,FALSE,TRUE
"Measurement, Statistics, and Evaluation",FALSE,TRUE
MD Language Science Ctr,FALSE,TRUE
Mathematics,FALSE,TRUE
Maryland Institute for Technology in the Humanities,FALSE,TRUE
Maryland Institute for Applied Environmental Health,FALSE,TRUE
Maryland English Institute,TRUE,FALSE
Marketing,TRUE,FALSE
Marine-Estuarine-Environmental Sciences,FALSE,TRUE
Machine Learning,FALSE,TRUE
"Logistics, Business, and Public Policy",FALSE,TRUE
Linguistics,TRUE,FALSE
Library Science,FALSE,TRUE
Lesbian Gay Bisexual Transgender Studies,TRUE,FALSE
Leadership Education and Development,TRUE,FALSE
Latina/o Studies,TRUE,FALSE
Latin American and Caribbean Studies,TRUE,FALSE
Latin,TRUE,FALSE
Landscape Architecture,FALSE,TRUE
Korean,TRUE,FALSE
Kinesiology,FALSE,TRUE
Journalism,TRUE,FALSE
Jewish Studies,TRUE,FALSE
Japanese,TRUE,FALSE
Italian,TRUE,FALSE
Israel Studies,TRUE,FALSE
Interdisciplinary Business Honors,,
Integrated Life Sciences,FALSE,TRUE
Institute of Applied Agriculture,FALSE,TRUE
Information Studies,FALSE,TRUE
Information Management,FALSE,TRUE
Immigration Studies,TRUE,FALSE
Immersive Media Design,FALSE,TRUE
Honors Humanities,,
Honors Global Communities,,
Honors,,
History,TRUE,FALSE
Historic Preservation,FALSE,TRUE
"Higher Ed, Student Affairs, and International Ed Policy",TRUE,FALSE
Hebrew,TRUE,FALSE
Hearing and Speech Sciences,FALSE,TRUE
Health Services Administration,FALSE,TRUE
Health Center,,
Health,,
Greek,TRUE,FALSE
Government and Politics,TRUE,FALSE
Global Health,FALSE,TRUE
Global Communities,,
Germanic Studies,TRUE,FALSE
German Studies,TRUE,FALSE
Geology,FALSE,TRUE
Geographical Sciences,FALSE,TRUE
General Business Minor,FALSE,TRUE
Gemstone,,
Full-Time MBA Program,,
French,TRUE,FALSE
First-Year Innovation & Research Experience,,
Finance,FALSE,TRUE
Film Studies,TRUE,FALSE
Federal and Global Fellows,TRUE,FALSE
Family Science,FALSE,TRUE
Executive MBA Program,,
Epidemiology and Biostatistics,FALSE,TRUE
Environmental Science and Technology,FALSE,TRUE
Environmental Science and Policy,FALSE,TRUE
Environmental and Occupational Health,FALSE,TRUE
Entomology,TRUE,FALSE
English,TRUE,FALSE
"Engineering, Professional Masters",FALSE,TRUE
"Engineering, Mechanical",FALSE,TRUE
"Engineering, Materials",FALSE,TRUE
"Engineering, Fire Protection",FALSE,TRUE
"Engineering, Cooperative Education",FALSE,TRUE
"Engineering, Civil",FALSE,TRUE
"Engineering, Chemical",FALSE,TRUE
"Engineering, Aerospace",FALSE,TRUE
Engineering Science,FALSE,TRUE
Engineering Education,FALSE,TRUE
Embedded Systems & Internet of Things,FALSE,TRUE
Electrical & Computer Engineering,FALSE,TRUE
"Education, Special",TRUE,FALSE
"Education, Human Development",TRUE,FALSE
"Education Leadership, Higher Ed and International Ed",TRUE,FALSE
Education Counseling and Personnel Services,TRUE,FALSE
Education,TRUE,FALSE
Economics,FALSE,TRUE
Doctor of Business Administration,,
Design Cultures and Creativity,,
Decision and Information Technologies,FALSE,TRUE
Data Science and Analytics,FALSE,TRUE
Dance,TRUE,FALSE
Cyber-Physical Systems Engineering,FALSE,TRUE
Criminology and Criminal Justice,TRUE,FALSE
"Counseling, Higher Education, and Special Education",TRUE,FALSE
"Computer, Math, and Natural Sciences",FALSE,TRUE
Computer Science,FALSE,TRUE
Comparative Literature,TRUE,FALSE
Communication,TRUE,FALSE
"College Park Scholars-Science, Technology and Society",,
"College Park Scholars-Science, Discovery & the Universe",,
College Park Scholars-Science and Global Change,,
College Park Scholars-Public Leadership,,
"College Park Scholars-Media, Self and Society",,
College Park Scholars-Life Sciences,,
College Park Scholars-Justice and Legal Thought,,
College Park Scholars-International Studies,,
College Park Scholars-Global Public Health,,
"College Park Scholars-Environment, Technology & Economy",,
College Park Scholars-Data Justice,,
College Park Scholars-Civic Engagement for Social Good,,
"College Park Scholars-Business, Society, and Economy",,
College Park Scholars-Arts,,
College Park Scholars Program,,
Classics,TRUE,FALSE
CIVICUS,,
Cinema and Media Studies,TRUE,FALSE
Chinese,TRUE,FALSE
Chemistry,FALSE,TRUE
Chemical Physics,FALSE,TRUE
Chemical and Life Sciences,FALSE,TRUE
Chemical and Biomolecular Engineering,FALSE,TRUE
Certificate in Latin American Studies,FALSE,TRUE
Cell Biology & Molecular Genetics,FALSE,TRUE
Carillon Communities,,
Business and Management,FALSE,TRUE
Biophysics,FALSE,TRUE
Biometrics,FALSE,TRUE
Biology,FALSE,TRUE
Biological Sciences Program,FALSE,TRUE
Biological Sciences,FALSE,TRUE
Bioinformatics and Computational Biology,FALSE,TRUE
Bioengineering,FALSE,TRUE
Biocomputational Engineering,FALSE,TRUE
Biochemistry,FALSE,TRUE
Behavioral and Social Sciences,TRUE,FALSE
Atmospheric and Oceanic Science,FALSE,TRUE
Astronomy,FALSE,TRUE
Asian American Studies,TRUE,FALSE
Arts and Humanities,TRUE,FALSE
Art Studio,TRUE,FALSE
Art History & Archaeology,TRUE,FALSE
Army,,
Architecture,FALSE,TRUE
Arabic,TRUE,FALSE
Applied Mathematics & Scientific Computation,FALSE,TRUE
Anti-Black Racism,TRUE,FALSE
Anthropology,TRUE,FALSE
Animal Science,FALSE,TRUE
American Studies,TRUE,FALSE
Air Science,FALSE,TRUE
Agriculture and Natural Resources,FALSE,TRUE
Agricultural Science and Technology,FALSE,TRUE
Agricultural and Resource Economics,FALSE,TRUE
African American Studies,TRUE,FALSE
African American and Africana Studies,TRUE,FALSE
ACES-Cybersecurity,FALSE,TRUE
Accounting and Information Assurance,FALSE,TRUE
