id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count
AASP100,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",202108,African American Studies,,6,George Kintiba; Shane Walsh; Jason Nichols,205,5,200,
AASP100H,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",202108,African American Studies,,1,George Kintiba,5,0,5,
AASP101,Public Policy and the Black Community,Formerly: AASP300.,202108,African American Studies,,1,Cecily Hardaway,35,0,35,
AASP200,African Civilization,A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.,202108,African American Studies,,2,George Kintiba,70,10,60,
AASP202,Black Culture in the United States,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",202108,African American Studies,,4,Renina Jarmon; Robert Choflet,135,15,120,
AASP202H,Black Culture in the United States,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",202108,African American Studies,,1,Robert Choflet,5,1,4,
AASP210,Intro to Research Design and Analysis in African American Studies,"Introduces students to quantitative and qualitative research methods used in social science with a focus on Black populations and African American Studies Research. Uses practical exercises, such as class surveys and mock focus groups, to examine fundamental concepts of the research process from conceptualization of research questions to interpretation of data and research articles. The course is designed for undergraduate students with little or no background knowledge in social science research methods.",202108,African American Studies,,1,Angel Dunbar,20,7,13,
AASP230,Social (In)Justice and African-American Health and Well-Being,"African Americans suffer worse outcomes than non-Hispanic whites on nearly every health measure and outcomes that link to overall well-being like depressive symptoms or homicides. Health disparities are experienced by other underrepresented minority groups, but because of the unique historic and current experiences of African Americans, the determinants and solutions to African American health disparities are unique. The premise of this course is that African American health disparities are due to social injustices perpetuated on the institutional level that have permeated the lived experiences of African Americans leading to racial disparities in health and well-being. As such, the solutions on the both policy, and community, level must have a social justice approach.",202108,African American Studies,,1,Ashley Newby,30,0,30,
AASP298B,Constructions of Manhood and Womanhood in the Black Community,"Cross-listed with: WGSS265.
Credit only granted for: WMST265, AASP298B or WGSS265.
Formerly: WMST265.",202108,African American Studies,,1,Michelle Rowley,40,7,33,
AASP298C,African-American History to 1865,"Cross-listed with: HIST254.
Credit only granted for: HIST254 or AASP298C.",202108,African American Studies,,1,Christopher Bonner,40,0,40,
