id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count,term_cleaned
LING889,Directed Research,NA,202508,Linguistics,Grad,0,NA,0,0,0,0,2025-08-01
LING260,Meaning through Language: Why are we so good at it?,"What is it about us humans and our languages that allows us to communicate in ways unmatched by other animals or powerful AI models? The question is ancient, but recent decades have seen great progress in the cognitive science of language, while expanding the diversity of languages investigated. We know much more about how languages vary, how they develop in children, how they are encoded in the mind, and relate to other domains of cognition. Major developments in statistical computation and research on animal cognition also illuminate what is (not) possible without the particular structure of the human mind. We bring this all to bear on our Big Question: What makes human language special from the viewpoint of meaning? Students will come to understand the major features of language as a vehicle for complex thought and a tool for communication. They will use this understanding in analyzing common semantic patterns and everyday conversational dynamics.",202508,Linguistics,Undergrad,1,Omar Agha; Aron Hirsch,3,0,3,0,2025-08-01
LING240,Language and Mind,"Prerequisite: Minimum grade of C- in LING200.
Additional information: Required for Linguistics majors and recommended for students in related fields.",202508,Linguistics,Undergrad,1,Tonia Bleam,40,36,4,2,2025-08-01
LING610,Syntactic Theory,Prerequisite: LING312.,202508,Linguistics,Grad,1,Juan Uriagereka,15,14,1,0,2025-08-01
LING410,Grammar and Meaning,Prerequisite: Permission of instructor; or LING311.,202508,Linguistics,Undergrad,1,Valentine Hacquard,26,14,12,0,2025-08-01
LING200,Introductory Linguistics,"Credit only granted for: HESP120 or LING200.
Additional information: This course serves as the prerequisite for further courses in linguistics.",202508,Linguistics,Undergrad,3,Margaret Antonisse,63,58,5,3,2025-08-01
LING449B,Topics in Psycholinguistics,NA,202508,Linguistics,Undergrad,1,Instructor: TBA,10,8,2,0,2025-08-01
LING419A,Topics in Syntax,NA,202508,Linguistics,Undergrad,1,Instructor: TBA,10,9,1,0,2025-08-01
LING723,Natural Language Processing,"Prerequisite: Minimum grade of C- in CMSC422; and permission of CMNS-Computer Science department.
Cross-listed with: CMSC723, INST735.
Credit only granted for: CMSC723, LING723, or INST735.
Additional information: CMSC students may only receive PhD Comp. credit for CMSC723 or CMSC823, not both.",202508,Linguistics,Grad,2,Mohit Iyyer,80,25,55,0,2025-08-01
LING689,Independent Study,NA,202508,Linguistics,Grad,0,NA,0,0,0,0,2025-08-01
LING888,Doctoral Research Paper,NA,202508,Linguistics,Grad,16,Margaret Antonisse; Fabrizio Cariani; Alexander Williams; William Idsardi; Ellen Lau; Aron Hirsch; Kate Mooney; Naomi Feldman; Philip Resnik; Jeffrey Lidz; Omar Agha; Colin Phillips; Andrea Zukowski; Juan Uriagereka; Tonia Bleam; Valentine Hacquard,50,50,0,0,2025-08-01
LING440,Grammars and Cognition,Prerequisite: LING321 and LING311.,202508,Linguistics,Undergrad,1,Ellen Lau,26,11,15,0,2025-08-01
LING499,Directed Studies in Linguistics,NA,202508,Linguistics,Undergrad,0,NA,0,0,0,0,2025-08-01
LING899,Doctoral Dissertation Research,NA,202508,Linguistics,Grad,0,NA,0,0,0,0,2025-08-01
LING879C,Seminar in Semantics,NA,202508,Linguistics,Grad,1,Omar Agha; Aron Hirsch,15,15,0,0,2025-08-01
LING620,Phonological Theory,Prerequisite: LING322.,202508,Linguistics,Grad,1,William Idsardi,10,9,1,0,2025-08-01
LING698,Directed Study; Seminar,NA,202508,Linguistics,Grad,1,William Idsardi,10,10,0,0,2025-08-01
LING322,Phonology II,Prerequisite: LING321.,202508,Linguistics,Undergrad,1,Kate Mooney,26,23,3,0,2025-08-01
LING848A,Seminar in Computational Linguistics,NA,202508,Linguistics,Grad,1,Philip Resnik,15,15,0,0,2025-08-01
LING660,Introduction to Semantics,Restriction: Permission of instructor.,202508,Linguistics,Grad,1,Alexander Williams,10,10,0,1,2025-08-01
LING898,Pre-Candidacy Research,NA,202508,Linguistics,Grad,0,NA,0,0,0,0,2025-08-01
LING698T,Directed Study; Pedagogy for Linguistics,Required for LING200 Teaching Assistants.,202508,Linguistics,Grad,1,Margaret Antonisse,6,6,0,0,2025-08-01
