id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count,term_cleaned
LING889,Directed Research,NA,202501,Linguistics,Grad,0,NA,0,0,0,0,2025-01-01
LING260,Meaning through Language: Why are we so good at it?,"What is it about us humans and our languages that allows us to communicate in ways unmatched by other animals or powerful AI models? The question is ancient, but recent decades have seen great progress in the cognitive science of language, while expanding the diversity of languages investigated. We know much more about how languages vary, how they develop in children, how they are encoded in the mind, and relate to other domains of cognition. Major developments in statistical computation and research on animal cognition also illuminate what is (not) possible without the particular structure of the human mind. We bring this all to bear on our Big Question: What makes human language special from the viewpoint of meaning? Students will come to understand the major features of language as a vehicle for complex thought and a tool for communication. They will use this understanding in analyzing common semantic patterns and everyday conversational dynamics.",202501,Linguistics,Undergrad,1,Aron Hirsch; Valentine Hacquard,30,3,27,0,2025-01-01
LING240,Language and Mind,"Prerequisite: Minimum grade of C- in LING200.
Additional information: Required for Linguistics majors and recommended for students in related fields.",202501,Linguistics,Undergrad,1,Margaret Antonisse,50,17,33,2,2025-01-01
LING410,Grammar and Meaning,Prerequisite: Permission of instructor; or LING311.,202501,Linguistics,Undergrad,1,Valentine Hacquard,23,0,23,0,2025-01-01
LING200,Introductory Linguistics,"Credit only granted for: HESP120 or LING200.
Additional information: This course serves as the prerequisite for further courses in linguistics.",202501,Linguistics,Undergrad,3,Tonia Bleam,90,44,46,3,2025-01-01
LING312,Syntax II,Prerequisite: LING311.,202501,Linguistics,Undergrad,1,Omar Agha,23,4,19,0,2025-01-01
LING611,Issues in Syntax,Prerequisite: LING610.,202501,Linguistics,Grad,1,Aron Hirsch,10,7,3,0,2025-01-01
LING689,Independent Study,NA,202501,Linguistics,Grad,0,NA,0,0,0,0,2025-01-01
LING888,Doctoral Research Paper,NA,202501,Linguistics,Grad,14,Fabrizio Cariani; Alexander Williams; William Idsardi; Ellen Lau; Kate Mooney; Philip Resnik; Jeffrey Lidz; Valentine Hacquard; Omar Agha; Colin Phillips; Aron Hirsch; Juan Uriagereka; Naomi Feldman; Maria Polinsky,70,63,7,0,2025-01-01
LING879O,Seminar in Semantics,NA,202501,Linguistics,Grad,1,Omar Agha,10,6,4,0,2025-01-01
LING499,Directed Studies in Linguistics,NA,202501,Linguistics,Undergrad,0,NA,0,0,0,0,2025-01-01
LING899,Doctoral Dissertation Research,NA,202501,Linguistics,Grad,0,NA,0,0,0,0,2025-01-01
LING661,Issues in Semantics,Prerequisite: LING660; or permission of ARHU-Linguistics department.,202501,Linguistics,Grad,1,Valentine Hacquard,10,10,0,0,2025-01-01
LING322,Phonology II,Prerequisite: LING321.,202501,Linguistics,Undergrad,1,Kate Mooney,23,9,14,0,2025-01-01
LING898,Pre-Candidacy Research,NA,202501,Linguistics,Grad,0,NA,0,0,0,0,2025-01-01
LING419K,Topics in Syntax; Studies in Lexical Aspect and Event Structure,NA,202501,Linguistics,Undergrad,1,FEDOR GOLOSOV,10,3,7,0,2025-01-01
LING689C,Independent Study; Computational Psycholinguistics,NA,202501,Linguistics,Grad,1,Naomi Feldman,14,9,5,0,2025-01-01
LING499C,Directed Studies in Linguistics; Teaching Assistantship,NA,202501,Linguistics,Undergrad,2,Margaret Antonisse; Tonia Bleam,8,5,3,0,2025-01-01
LING321,Phonology I,Prerequisite: LING240.,202501,Linguistics,Undergrad,1,Margaret Antonisse,29,2,27,2,2025-01-01
LING272,Biophysics of Language,"Examines the nature of mental representation of language in the physiology of the mind/brain, how it evolved, how it emerges in learners' minds, and how it decays through injury and illness. Insights from linguistics, cognitive psychology, neuroscience, animal behavior, molecular biology, and biophysics are brought to bear on how an abstract systematic behavior can arise within an animal brain.",202501,Linguistics,Undergrad,1,Juan Uriagereka,30,4,26,0,2025-01-01
LING449K,Topics in Psycholinguistics; Investigating A-bar Movement,NA,202501,Linguistics,Undergrad,1,Katherine Howitt,10,1,9,0,2025-01-01
LING248,Introduction to Laboratory Research in Linguistics,Prerequisite: Permission of ARHU-Linguistics department.,202501,Linguistics,Undergrad,1,Jeffrey Lidz,4,0,4,0,2025-01-01
LING896,Research Paper in Minor Area,Prerequisite: LING888.,202501,Linguistics,Grad,0,NA,0,0,0,0,2025-01-01
LING689T,Independent Study; Pedagogy for Linguistics,Designed for novice instructors to collaboratively explore and evaluate methodologies that support teaching improvement and learner achievement.,202501,Linguistics,Grad,1,Margaret Antonisse,6,4,2,0,2025-01-01
LING678,Linguistic Field Methods,NA,202501,Linguistics,Grad,1,Kate Mooney,10,7,3,0,2025-01-01
LING798,Research Papers in Linguistics,NA,202501,Linguistics,Grad,0,NA,0,0,0,0,2025-01-01
LING448,Advanced Laboratory Research in Linguistics,Prerequisite: Permission of ARHU-Linguistics department.,202501,Linguistics,Undergrad,1,Jeffrey Lidz,4,2,2,0,2025-01-01
LING311,Syntax I,Prerequisite: LING240.,202501,Linguistics,Undergrad,1,Tonia Bleam,27,2,25,0,2025-01-01
LING879J,Seminar in Semantics,NA,202501,Linguistics,Grad,1,Jeffrey Lidz,10,8,2,0,2025-01-01
LING499H,Directed Studies in Linguistics,NA,202501,Linguistics,Undergrad,0,NA,0,0,0,0,2025-01-01
LING849C,Seminar in Psycholinguistics; Computational Psycholinguistics,Cross-listed with NACS728W. Credit will be only granted for LING849C or NACS728W.,202501,Linguistics,Grad,1,Naomi Feldman,20,3,17,0,2025-01-01
LING799,Master's Thesis Research,NA,202501,Linguistics,Grad,0,NA,0,0,0,0,2025-01-01
AMST629G,Seminar in American Studies; Politics of Fantasy,Cross-listed with WGSS698F. Credit will be only granted for WGSS698F or AMST629G.,202501,American Studies,Grad,1,Alexis Lothian,12,2,10,0,2025-01-01
AMST213,Heroes and Villains in American Film,"Cross-listed with: CINE282.
Credit only granted for: AMST213, HONR219F, CINE282 or FILM298V.
Formerly: HONR219F, FILM298V.",202501,American Studies,Undergrad,1,Susan Pramschufer,35,0,35,0,2025-01-01
AMST205,"American Material Culture: The Study of People, Places, and Things","Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",202501,American Studies,Undergrad,1,Carla Thomas McGinnis,25,0,25,1,2025-01-01
AMST655,Introduction to Museum Scholarship,"Cross-listed with: ANTH655, HIST610, INST653.
Credit only granted for: AMST655, ANTH655, HIST610, INST728T or INST653.",202501,American Studies,Grad,1,Lesley Langa,15,0,15,0,2025-01-01
AMST603,Current Approaches to American Studies,Restriction: Must be in one of the following programs (American Studies (Master's); American Studies (Doctoral)) . Or permission of ARHU-American Studies department; and permission of instructor.,202501,American Studies,Grad,1,Christina Hanhardt,15,10,5,1,2025-01-01
AMST328Z,Perspectives on Identity and Culture,"Cross-listed with AASP398J and HIST338A. Credit only granted for HIST338A, AASP398J, or AMST328Z.

From the anti-lynching movement and streetcar boycotts of the early 20th century to the mass movement of the 1960s, this course takes up issues that have engaged social movement theorists and activists alike: developing and sustaining social commitment, confronting the strengths and weaknesses of formal organization, raising money, maximizing political influence, and securing long-range objectives. While primarily focused on the U.S. Black Civil Rights Movement, the course considers its impacton other rights struggles (e.g., environmental justice and reproductive justice) and makes connections to the civil rights struggles of other people of color in the U.S.",202501,American Studies,Undergrad,1,Elsa Barkley Brown,40,0,40,0,2025-01-01
AMST418N,Asian American Public Policy,"Cross-listed with: AAST421.
Credit only granted for: AAST421, AAST498M or AMST418N.
Formerly: AAST498M.",202501,American Studies,Undergrad,1,Philip Nash,20,0,20,0,2025-01-01
AMST101,Introduction American Studies,"Credit only granted for: AMST101 or AMST201.
Formerly: AMST201.",202501,American Studies,Undergrad,4,Eva Hageman,60,0,60,7,2025-01-01
AMST398,Independent Studies,NA,202501,American Studies,Undergrad,0,NA,0,0,0,0,2025-01-01
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",202501,American Studies,Undergrad,2,Nina Versenyi; Zachary Johnson,50,1,49,5,2025-01-01
AMST798,Non-Thesis Research,NA,202501,American Studies,Grad,0,NA,0,0,0,0,2025-01-01
AMST659C,Special Topics: Collaborative Curation; Community-Centered Exhibition Creation in a Local Museum,"Cross-listed with ANTH689C, HIST688C and INST788C. Credit will only be granted for AMST659C, ANTH689C, HIST688C or INST788C.",202501,American Studies,Grad,1,Henry Gregory,12,7,5,0,2025-01-01
AMST425,Film and American Landscape,"Credit only granted for: AMST418K or AMST425.
Formerly: AMST418K.",202501,American Studies,Undergrad,1,Susan Pramschufer,25,1,24,0,2025-01-01
AMST799,Master's Thesis Research,NA,202501,American Studies,Grad,0,NA,0,0,0,0,2025-01-01
AMST388,Honors Thesis,NA,202501,American Studies,Undergrad,0,NA,0,0,0,0,2025-01-01
AMST878A,American Studies Pedagogy Mentoring; Mentoring for First Year Teaching in American Studies,NA,202501,American Studies,Grad,1,Bayley Marquez,5,3,2,0,2025-01-01
AMST628J,Seminar in American Studies; The Poetics of the Black Feminist Imagination,"Restriction: Must be a student in WGSS/WMST graduate program. Cross-listed with WGSS698B. Credit only granted for WGSS498B, WGSS698B, or AMST628J.

A survey of the poetry of black feminist writers across the African diaspora. We will read black feminist poetry as auto/theory, anti-colonial philosophy, and feminist manifesto. Students will learn the art and craft of writing poetry, as well as produce an original chapbook of poetry. Featured poets include Audre Lorde, June Jordan, Lucille Clifton, Toi Derricotte, Marlene Norbese Phillips, Latasha Nevada Diggs, Bessie Head,Natalia Molebatsi, Warsan Shire, Upile Chisala and more. Featured topics include mother/daughter relations, black lesbianism, child sexual violence, anti-colonial struggle, girlhood, black trans childhoods, transnational solidarities, and cultural resistance. For more information, please email Dr. Isoke at zisoke@umd.edu.",202501,American Studies,Grad,1,Zenzele Isoke,10,2,8,0,2025-01-01
AMST418H,Cultural Themes in America; Cultural Themes in America-Honors,Prerequisite: At least three credit hours of prior coursework in AMST.,202501,American Studies,Undergrad,0,NA,0,0,0,0,2025-01-01
AMST298J,Selected Topics in American Studies; Reproductive Justice: An Introduction,NA,202501,American Studies,Undergrad,1,Shelbi Meissner,36,0,36,0,2025-01-01
AMST878B,American Studies Pedagogy Mentoring; Mentoring for Second Year Teaching in American Studies,NA,202501,American Studies,Grad,1,Bayley Marquez,5,4,1,0,2025-01-01
AMST450,Seminar in American Studies,"Prerequisite: AMST201 and AMST340; and 1 course in AMST.
Restriction: Senior standing; and must be in American Studies program.",202501,American Studies,Undergrad,1,Jamila Moore-Pewu,15,7,8,1,2025-01-01
AMST260,American Culture in the Information Age,"Credit only granted for: AMST260 or AMST298I.
Formerly: AMST298I.",202501,American Studies,Undergrad,1,Jason Farman,60,1,59,0,2025-01-01
AMST628P,Seminar in American Studies; Race Sex Power in the City,"This class looks at how the social construction of the so-called normal has shaped academic and professionalized approaches to the U.S. city, and how social collectives have organized in response. Although interdisciplinary, the class focuses on the history of the entwined regulation of race, gender, and sexuality throughout the twentieth century, and is anchored in the literature of African American, queer, and urban studies.",202501,American Studies,Grad,1,Christina Hanhardt,15,0,15,0,2025-01-01
AMST324,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"Cross-listed with: AAST394, IMMR394.
Credit only granted for: AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394.
Formerly: AAST398E.",202501,American Studies,Undergrad,1,Joan Hong,30,0,30,0,2025-01-01
