id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count,term_cleaned
LING889,Directed Research,NA,202505,Linguistics,Grad,0,NA,0,0,0,0,2025-05-01
LING689,Independent Study,NA,202505,Linguistics,Grad,2,Instructor: TBA,4,4,0,0,2025-05-01
LING499,Directed Studies in Linguistics,NA,202505,Linguistics,Undergrad,0,NA,0,0,0,0,2025-05-01
LING899,Doctoral Dissertation Research,NA,202505,Linguistics,Grad,0,NA,0,0,0,0,2025-05-01
LING698,Directed Study,NA,202505,Linguistics,Grad,0,NA,0,0,0,0,2025-05-01
LING898,Pre-Candidacy Research,NA,202505,Linguistics,Grad,0,NA,0,0,0,0,2025-05-01
LING896,Research Paper in Minor Area,Prerequisite: LING888.,202505,Linguistics,Grad,2,Instructor: TBA,2,2,0,0,2025-05-01
LING798,Research Papers in Linguistics,NA,202505,Linguistics,Grad,0,NA,0,0,0,0,2025-05-01
LING799,Master's Thesis Research,NA,202505,Linguistics,Grad,0,NA,0,0,0,0,2025-05-01
AMST328W,Asian Americans in Film,"Cross-listed with: AAST355.
Credit only granted for: AAST355, AAST398L or AMST328W.
Formerly: 398L.",202505,American Studies,Undergrad,2,Jennifer Cho,40,13,27,0,2025-05-01
AMST205,"American Material Culture: The Study of People, Places, and Things","Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",202505,American Studies,Undergrad,1,Melodie Jackson,20,19,1,1,2025-05-01
AMST101,Introduction American Studies,"Credit only granted for: AMST101 or AMST201.
Formerly: AMST201.",202505,American Studies,Undergrad,2,Devon Betts; Anh Duong,35,24,11,7,2025-05-01
AMST290,Constructing Cultural Mainstreams and Margins in the U.S.,"Credit only granted for: AMST289A or AMST290.
Formerly: AMST289A.",202505,American Studies,Undergrad,1,Robert Chester,25,11,14,0,2025-05-01
AMST398,Independent Studies,NA,202505,American Studies,Undergrad,1,Instructor: TBA,5,5,0,0,2025-05-01
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",202505,American Studies,Undergrad,3,Nina Versenyi; Kristine Li Puma; Zachary Johnson,44,29,15,5,2025-05-01
AMST798,Non-Thesis Research,NA,202505,American Studies,Grad,0,NA,0,0,0,0,2025-05-01
AMST799,Master's Thesis Research,NA,202505,American Studies,Grad,2,Instructor: TBA,2,2,0,0,2025-05-01
AMST312,Introduction to Native American and Indigenous Studies,"Credit only granted for: AMST328N, ANTH468F, RELS319N, or AMST312.
Formerly: AMST328N, ANTH468F, or RELS319N.",202505,American Studies,Undergrad,1,Alexandra Wood,15,15,0,0,2025-05-01
AMST899,Doctoral Dissertation Research,NA,202505,American Studies,Grad,0,NA,0,0,0,0,2025-05-01
AMST857,Museum Scholarship Practicum,"Prerequisite: AMST856, ANTH856, or HIST810.
Restriction: Permission of Museum Scholarship Program required.
Cross-listed with: ANTH857, HIST811, INST787.
Credit only granted for: AMST857, ANTH857, HIST811, INST728I or INST787.",202505,American Studies,Grad,1,Paul Jaeger,12,11,1,0,2025-05-01
ENCE625,Project Administration,"Principles of project administration procedures from the viewpoint of a resident project manager or project engineer on a construction or engineering project. The course specifically addresses the project administration responsibilities of the project manager or project engineer in the engineering, design, or construction industries. Students with a background in the private sector or the government sector will benefit. The course takes a project team approach for improved job efficiency, outlining a project team operation in which the office project administrator delegates to the greatest possible extent all those project administrative functions that can be done more efficiently in the field. The class also addresses the responsibilities and risks that a project administrative manager is likely to encounter. The course is suitable for students, engineering and design professionals, project managers, experienced contract administrators, and owners interested in the special administrative problems of engineering or construction.",202505,"Engineering, Civil",Grad,1,Neil Schulman,20,16,4,0,2025-05-01
ENCE799,Master's Thesis Research,NA,202505,"Engineering, Civil",Grad,0,NA,0,0,0,0,2025-05-01
ENCE623,Introduction to Advanced Scheduling,"Prerequisite: ENCE423 or ENCE662.
Credit only granted for: ENCE623 or ENCE688S.",202505,"Engineering, Civil",Grad,1,Kenneth O'Connell,25,19,6,0,2025-05-01
ENCE422,Project Cost Accounting and Economics,"Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.
Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor.",202505,"Engineering, Civil",Undergrad,1,Qingbin Cui,40,19,21,1,2025-05-01
ENCE423,"Project Planning, Estimating & Scheduling",Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor. And permission of ENGR-Civil & Environmental Engineering department.,202505,"Engineering, Civil",Undergrad,1,Kenneth O'Connell,50,45,5,0,2025-05-01
ENCE898,Pre-Candidacy Research,NA,202505,"Engineering, Civil",Grad,0,NA,0,0,0,0,2025-05-01
ENCE661,Project Cost Accounting and Finance,"This course reviews the fundamentals of accounting; examines project cost accounting principles, applications, and impact on profitability; examines the principles of activity based costing; covers the elements involved in cash management; introduces the framework for how projects are financed and the potential impact financing has on the projects; and a framework for evaluating PC based systems and what resources are needed for an effective project cost system.",202505,"Engineering, Civil",Grad,1,James Myers,25,22,3,0,2025-05-01
ENCE899,Doctoral Dissertation Research,NA,202505,"Engineering, Civil",Grad,0,NA,0,0,0,0,2025-05-01
ENCE689,Seminar,NA,202505,"Engineering, Civil",Grad,0,NA,0,0,0,4,2025-05-01
