id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count,term_cleaned
AMST328W,Asian Americans in Film,"Cross-listed with: AAST355.
Credit only granted for: AAST355, AAST398L or AMST328W.
Formerly: 398L.",202412,American Studies,Undergrad,2,Jennifer Cho,40,34,6,0,2024-12-01
AMST205,Material Aspects of American Life,"Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",202412,American Studies,Undergrad,1,Melodie Jackson,15,0,15,1,2024-12-01
AMST101,Introduction American Studies,"Credit only granted for: AMST101 or AMST201.
Formerly: AMST201.",202412,American Studies,Undergrad,2,Nina Versenyi; Anh Duong,30,0,30,7,2024-12-01
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",202412,American Studies,Undergrad,3,Jacqueline Partida; Zachary Johnson; Alice Santana,45,3,42,5,2024-12-01
ENCE799,Master's Thesis Research,NA,202412,"Engineering, Civil",Grad,8,Gang-Len Chang; Peter Chang; Qingbin Cui; Allison Reilly; Bilal Ayyub; Ahmet Aydilek; Ali Haghani; Allen Davis,34,34,0,0,2024-12-01
ENCE489A,Special Problems in Civil Engineering; Virtual Design and Construction Application,"As construction companies push the technology to explore new uses, Virtual Design and Construction (VDC) has moved to the forefront of large-scale construction projects in the United States. VDC teams use BIM applications for an ever-expanding array of use cases in the construction industry, including but not limited to logistics visualizations, building system clash detection, constructability, construction sequencing, building asset management, LiDAR and reality capture, construction sequencing simulation, jobsite safety assessment, QA/QC, augmented and mixed virtual reality, digital twin services, and materials takeoff and estimates. VDC processes are the future of the construction industry because the benefits include improved efficiency, reduced costs for construction, enhanced safety, increased quality, and better sustainability metrics.

This course will introduce students to advanced Building Information Modeling (BIM) applications and its critical role in Virtual Design and Construction (VDC). Students will learn how to create and manage Collaborative BIM projects across teams and how successful implementation benefits construction projects. Design team knowledge of VDC processes improves the outcome of construction projects, and students will learn how architects and engineers can positively impact construction through careful and organized BIM planning.",202412,"Engineering, Civil",Undergrad,1,Kiley Wilfong Cullen,20,15,5,0,2024-12-01
ENCE899,Doctoral Dissertation Research,NA,202412,"Engineering, Civil",Grad,9,Steven Gabriel; Gang-Len Chang; Peter Chang; Cinzia Cirillo; Yunfeng Zhang; Lei Zhang; Gregory Baecher; Ali Haghani; Allen Davis,39,37,2,0,2024-12-01
ENCE689,Seminar,NA,202412,"Engineering, Civil",Grad,2,Peter Chang; Gang-Len Chang,6,6,0,4,2024-12-01
AGST435,Teacher Training for Agriculture and Environmental Literacy,Dive into an engaging course through which you will explore the interwoven nature of agricultural and environmental education. Discover cost effective resources to infuse agriculture and environmental education into formal and non-formal lesson plans. Along the journey you will build your confidence to use real world activities to help your students have fun learning core curriculum concepts while students become agriculturally and environmentally literate.,202412,Agricultural Science and Technology,Undergrad,1,Melissa Welsh,15,15,0,0,2024-12-01
EDCP788,Advanced Practicum,NA,202412,Education Counseling and Personnel Services,Grad,2,Candace Moore; Jonathan Mohr,6,6,0,0,2024-12-01
EDCP789,Advanced Topics in Counseling and Personnel Services,NA,202412,Education Counseling and Personnel Services,Grad,0,NA,0,0,0,4,2024-12-01
EDCP665,Family and Social Support Systems,Recommended: EDCP610.,202412,Education Counseling and Personnel Services,Grad,1,Ileana Gonzalez,20,13,7,0,2024-12-01
EDCP798,Special Problems in Counseling and Personnel Services; Special Problems in Counseling and Personnel Services,Individual Instruction course: contact department or instructor to obtai n section number for winter term.,202412,Education Counseling and Personnel Services,Grad,0,NA,0,0,0,4,2024-12-01
EDCP789R,Advanced Topics in Counseling and Personnel Services; College Teaching Seminar,NA,202412,Education Counseling and Personnel Services,Grad,2,Romy Stancofski; Candace Moore,15,13,2,1,2024-12-01
EDCP701,Theories and Methods of Intervention,"Restriction: Must be in Counseling and Personnel Services (Doctoral) program; or permission of instructor.
Credit only granted for: EDCP789B or EDCP701.
Formerly: EDCP789B.",202412,Education Counseling and Personnel Services,Grad,1,Cixin Wang,11,0,11,0,2024-12-01
